#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
METTL4	64863	84	77	#	1	#	#	#
METTL5	29081	10	10	#	1	#	#	#
METTL8	79828	15	15	#	1	609525	#	#
MEX3C	51320	30	27	#	1	611005	#	#
MEX3D	399664	13	13	#	1	611009	#	#
MFSD12	126321	14	14	#	1	#	#	#
MGAM	8972	33	30	#	1	154360	#	#
MGAT1	4245	23	23	#	1	160995	#	#
MICALL1	85377	18	17	#	1	#	#	#
MID2	11043	129	123	2	1	300204	0	1
MIDN	90007	17	17	#	1	606700	#	#
MIER1	57708	15	15	#	1	616848	#	#
MIER3	166968	7	7	#	1	#	#	#
MINOS1-NBL1	100532736	12	12	#	1	#	#	#
MIOX	55586	68	66	#	1	606774	#	#
MIR100HG	399959	20	20	#	1	615965	#	#
MIR184	406960	9	9	1	1	613146	#	#
MIR204	406987	29	27	1	1	610942	#	#
MIR325HG	101928469	69	63	#	1	#	#	#
MIR4260	100422894	6	6	#	1	#	#	#
MIR4321	100423031	12	12	#	1	#	#	#
MIR5004	100847012	2	2	#	1	#	#	#
MIR6130	102466967	49	43	1	1	#	#	#
MIR924HG	647946	30	27	#	1	#	#	#
MIRLET7DHG	158257	20	18	#	1	#	#	#
MLANA	2315	107	105	#	1	605513	#	#
MLEC	9761	9	9	#	1	613802	#	#
MLIP	90523	6	6	#	1	614106	#	#
MLLT3	4300	57	55	#	1	159558	#	#
MLXIPL	51085	100	88	1	1	605678	#	#
MMP1	4312	10	8	3	1	120353	#	#
MMP14	4323	16	16	1	1	600754	#	#
MMP24	10893	8	8	#	1	604871	#	#
MMP8	4317	7	7	1	1	120355	#	#
MMP9	4318	36	33	32	1	120361	0	15
MOG	4340	5	5	1	1	159465	#	#
MOK	5891	28	28	#	1	605762	#	#
MON2	23041	8	8	#	1	616822	#	#
MOV10L1	54456	64	62	#	1	605794	#	#
MPP4	58538	21	21	1	1	606575	#	#
MPPE1	65258	57	51	#	1	611900	#	#
MRGBP	55257	18	17	#	1	611157	#	#
MRI1	84245	11	11	1	1	615105	#	#
MROH7	374977	8	8	#	1	#	#	#
MROH9	80133	14	14	#	1	#	#	#
MRPL3	11222	20	18	13	1	607118	1	0
MRPL37	51253	8	8	#	1	611843	#	#
MRPL45	84311	7	7	#	1	611850	#	#
MRPS23	51649	11	11	#	1	611985	#	#
MS4A1	931	2	2	1	1	112210	#	#
MSANTD2	79684	37	37	#	1	#	#	#
MSANTD3-TMEFF1	100526694	27	25	#	1	#	#	#
MSI2	124540	13	13	#	1	607897	#	#
MST1R	4486	4	4	1	1	600168	#	#
MSTN	2660	49	46	37	1	601788	1	8
MT-TD	4555	3	3	1	1	590015	#	#
MT-TM	4569	1	1	1	1	590065	#	#
MTCL1	23255	67	60	#	1	615766	#	#
MTCP1	4515	162	156	#	1	300116	#	#
MTERF4	130916	63	63	#	1	615393	#	#
MTHFD2L	441024	11	11	#	1	614047	#	#
MTMR12	54545	17	17	#	1	606501	#	#
MTMR14	64419	38	38	6	1	611089	0	1
MTOR-AS1	100873935	25	25	#	1	#	#	#
MTPAP	55149	26	21	22	1	613669	0	1
MTRF1	9617	34	33	#	1	604601	#	#
MTSS1L	92154	20	20	1	1	616951	#	#
MTX2	10651	14	14	#	1	608555	#	#
MUC1	4582	6	6	1	1	158340	#	#
MUC20	200958	34	34	#	1	610360	#	#
MUC4	4585	31	31	3	1	158372	0	1
MUM1	84939	12	12	#	1	#	#	#
MUM1L1	139221	130	124	#	1	#	#	#
MXD4	10608	78	78	#	1	#	#	#
MXRA5	25878	158	152	1	1	300938	0	1
MXRA8	54587	93	91	#	1	617293	#	#
MYCBP2	23077	45	44	2	1	610392	0	2
MYF5	4617	14	14	#	1	159990	#	#
MYH10	4628	11	11	3	1	160776	0	2
MYH13	8735	11	11	#	1	603487	#	#
MYH8	4626	115	88	104	1	160741	4	47
MYLK-AS1	100506826	70	64	#	1	#	#	#
MYO18B	84700	18	17	2	1	607295	0	1
MYO1A	4640	148	109	144	1	601478	12	53
MYO1C	4641	64	64	3	1	606538	#	#
MYO1F	4542	5	5	2	1	601480	0	2
MYO9B	4650	7	7	3	1	602129	0	2
MYOCD	93649	9	8	4	1	606127	0	2
MYOM1	8736	220	192	136	1	603508	3	35
MYOZ2	51778	121	83	112	1	605602	3	33
MZF1	7593	8	8	#	1	194550	#	#
MZF1-AS1	100131691	7	7	#	1	#	#	#
MZT2B	80097	12	12	#	1	613450	#	#
N4BP2L2	10443	35	34	#	1	615788	#	#
NAA16	79612	34	33	#	1	#	#	#
NACC2	138151	38	36	#	1	615786	#	#
NADK2	133686	22	22	14	1	615787	#	#
NALCN-AS1	100885778	40	39	#	1	#	#	#
NAMPT	10135	9	9	#	1	608764	#	#
NAP1L2	4674	103	97	1	1	300026	0	1
NAPG	8774	64	57	#	1	603216	#	#
NAT8L	339983	85	85	1	1	610647	#	#
NAV1	89796	7	7	1	1	611628	0	1
NAXD	55739	67	66	#	1	615910	#	#
NBEAL1	65065	17	17	#	1	609816	#	#
NCAPG2	54892	66	66	2	1	608532	0	2
NCK1	4690	12	12	#	1	600508	#	#
NCK2	8440	12	12	#	1	604930	#	#
NCLN	56926	13	13	#	1	609156	#	#
NCOA3	8202	5	4	#	1	601937	#	#
NCOA7	135112	7	7	#	1	609752	#	#
NDFIP1	80762	10	10	#	1	612050	#	#
NDST3	9348	7	7	#	1	603950	#	#
NDUFA12	55967	10	10	7	1	614530	#	#
NDUFAF4	29078	57	54	51	1	611776	1	33
NECAB1	64168	20	20	#	1	#	#	#
NECAB2	54550	37	37	#	1	#	#	#
NECAP1	25977	25	24	2	1	611623	#	#
NECAP2	55707	17	17	1	1	611624	0	1
NEIL3	55247	48	48	#	1	608934	#	#
NEK2	4751	8	8	1	1	604043	#	#
NEK4	6787	4	4	1	1	601959	#	#
NELL1	4745	10	10	1	1	602319	0	1
NFASC	23114	8	8	#	1	609145	#	#
NFATC2	4773	6	5	#	1	600490	#	#
NFE2L3	9603	17	17	#	1	604135	#	#
NFIC	4782	14	14	#	1	600729	#	#
NFYC	4802	9	9	#	1	605344	#	#
NGEF	25791	21	21	#	1	605991	#	#
NGFR	4804	9	9	#	1	162010	#	#
NID1	4811	30	30	4	1	131390	0	3
NIPA2	81614	180	174	#	1	608146	#	#
NKAIN2	154215	20	20	#	1	609758	#	#
NKX1-1	54729	94	94	#	1	#	#	#
NLGN3	54413	123	116	22	1	300336	0	15
NLRC3	197358	58	58	37	1	615648	#	#
NME7	29922	12	12	1	1	613465	0	1
NME8	51314	74	53	65	1	607421	1	2
NMT2	9397	11	11	#	1	603801	#	#
NOL3	8996	20	20	1	1	605235	#	#
NOL4	8715	30	27	#	1	603577	#	#
NOMO2	283820	27	26	#	1	609158	#	#
NOP10	55505	38	31	26	1	606471	0	8
NOP14	8602	73	73	#	1	611526	#	#
NOX1	27035	128	122	#	1	300225	#	#
NOX3	50508	15	15	#	1	607105	#	#
NPAS2	4862	13	13	1	1	603347	#	#
NPAT	4863	3	3	#	1	601448	#	#
NPC1L1	29881	18	18	2	1	608010	#	#
NPHP3-AS1	348808	18	14	#	1	#	#	#
NPIPA3	642778	17	17	#	1	#	#	#
NPIPA7	101059938	92	89	#	1	#	#	#
NPIPB11	728888	22	21	#	1	#	#	#
NPSR1-AS1	404744	13	13	#	1	608596	#	#
NR1H3	10062	8	8	1	1	602423	#	#
NR5A2	2494	8	8	2	1	604453	#	#
NRAP	4892	39	39	#	1	602873	#	#
NRG1	3084	66	66	1	1	142445	#	#
NRIP1	8204	60	54	1	1	602490	#	#
NRK	203447	129	123	#	1	300791	#	#
NSD3	54904	40	40	#	1	607083	#	#
NSG1	27065	56	56	#	1	607645	#	#
NSMCE4A	54780	21	21	#	1	612987	#	#
NT5M	56953	79	77	#	1	605292	#	#
NTM	50863	48	48	#	1	607938	#	#
NTNG1	22854	14	14	1	1	608818	0	1
NTRK3	4916	19	19	#	1	191316	#	#
NUCB2	4925	8	8	#	1	608020	#	#
NUDT2	318	48	46	#	1	602852	#	#
NUFIP1	26747	37	36	#	1	604354	#	#
NUMB	8650	9	9	#	1	603728	#	#
NUP133	55746	21	20	2	1	607613	0	1
NUP155	9631	22	22	1	1	606694	#	#
NUP205	23165	23	23	1	1	614352	#	#
NUS1	116150	19	19	1	1	610463	#	#
NUTF2	10204	17	17	#	1	605813	#	#
NUTM2A	728118	11	11	#	1	#	#	#
NVL	4931	21	21	#	1	602426	#	#
NYAP2	57624	13	13	#	1	615478	#	#
OBSCN	84033	27	27	4	1	608616	0	3
OGG1	4968	31	31	1	1	601982	#	#
OLA1	29789	20	20	1	1	611175	0	1
OPA1-AS1	100873941	29	23	#	1	#	#	#
OPN1MW2	728458	167	161	#	1	#	#	#
OPN3	23596	49	48	#	1	606695	#	#
OPRL1	4987	24	23	#	1	602548	#	#
OR2A1-AS1	101928492	34	34	#	1	#	#	#
OR8G5	219865	35	35	#	1	#	#	#
OSBPL3	26031	18	18	#	1	606732	#	#
OSBPL9	114883	3	3	#	1	606737	#	#
OTOP2	92736	16	15	#	1	607827	#	#
OTUD5	55593	123	117	#	1	300713	#	#
OTUD7A	161725	131	122	#	1	612024	#	#
OXR1	55074	26	26	#	1	605609	#	#
P2RX1	5023	19	19	1	1	600845	#	#
P4HB	5034	17	17	1	1	176790	#	#
PABPC1L2B	645974	102	96	#	1	#	#	#
PADI4	23569	13	13	#	1	605347	#	#
PAG1	55824	20	20	#	1	605767	#	#
PAM16	51025	14	14	1	1	614336	#	#
PANK4	55229	84	82	#	1	606162	#	#
PAPD7	11044	72	72	#	1	605198	#	#
PAPPA2	60676	14	14	#	1	#	#	#
PARD3	56288	13	13	3	1	606745	0	3
PARP11	57097	35	35	#	1	616706	#	#
PARS2	25973	19	19	12	1	612036	0	2
PART1	25859	6	6	#	1	604991	#	#
PASK	23178	64	64	1	1	607505	0	1
PATJ	10207	17	17	#	1	603199	#	#
PAX1	5075	10	10	1	1	167411	#	#
PAXIP1-AS2	100132707	38	38	#	1	#	#	#
PBRM1	55193	12	12	1	1	606083	#	#
PBX3	5090	26	24	#	1	176312	#	#
PCBP1	5093	5	5	1	1	601209	#	#
PCDH11Y	83259	38	38	#	1	400022	#	#
PCDH9	5101	57	56	#	1	603581	#	#
PCDHB4	56131	10	10	1	1	606330	#	#
PCLO	27445	15	15	3	1	604918	#	#
PCNA	5111	22	22	1	1	176740	#	#
PCSK5	5125	29	27	2	1	600488	0	1
PCSK6	5046	58	58	#	1	167405	#	#
PDE1A	5136	18	18	#	1	171890	#	#
PDE1C	5137	13	13	1	1	602987	0	1
PDE6G	5148	33	32	19	1	180073	0	6
PDIA6	10130	14	14	#	1	611099	#	#
PDK3	5165	124	118	3	1	300906	#	#
PDPK1	5170	18	18	#	1	605213	#	#
PDPR	55066	26	26	2	1	#	#	#
PDZD7	79955	65	46	57	1	612971	2	10
PDZD9	255762	70	65	#	1	#	#	#
PEBP4	157310	50	50	#	1	612473	#	#
PELI2	57161	7	7	#	1	614798	#	#
PENK	5179	21	21	#	1	131330	#	#
PER2	8864	52	52	1	1	603426	#	#
PFKFB3	5209	22	22	#	1	605319	#	#
PGBD5	79605	20	20	#	1	616791	#	#
PHACTR4	65979	8	8	#	1	608726	#	#
PHC1	1911	29	28	7	1	602978	0	4
PHC2	1912	2	2	#	1	602979	#	#
PHEX-AS1	100873942	85	79	#	1	#	#	#
PHF12	57649	3	3	#	1	#	#	#
PHF20	51230	8	8	#	1	610335	#	#
PHLPP1	23239	54	51	#	1	609396	#	#
PHTF2	57157	13	13	#	1	616785	#	#
PICK1	9463	17	16	#	1	605926	#	#
PIGC	5279	15	15	1	1	601730	#	#
PIGF	5281	7	7	#	1	600153	#	#
PIGK	10026	4	4	#	1	605087	#	#
PIGM	93183	8	8	3	1	610273	0	2
PIGQ	9091	32	32	2	1	605754	0	1
PIH1D2	120379	25	25	#	1	#	#	#
PIK3AP1	118788	8	8	#	1	607942	#	#
PIK3R5	23533	22	17	16	1	611317	0	2
PIK3R6	146850	6	6	#	1	611462	#	#
PIM3	415116	64	62	#	1	610580	#	#
PIP4K2A	5305	7	7	#	1	603140	#	#
PIP5K1C	23396	14	14	1	1	606102	#	#
PITPNM2	57605	14	14	#	1	608920	#	#
PKD1L2	114780	39	39	1	1	607894	#	#
PKN2-AS1	101927891	4	4	#	1	#	#	#
PKNOX2	63876	35	35	#	1	613066	#	#
PLA2G2A	5320	11	11	1	1	172411	#	#
PLA2G5	5322	15	15	5	1	601192	#	#
PLA2G7	7941	8	7	4	1	601690	#	#
PLA2R1	22925	9	9	#	1	604939	#	#
PLAC1	10761	132	126	#	1	300296	#	#
PLAC9	219348	19	19	#	1	612857	#	#
PLAG1	5324	22	22	#	1	603026	#	#
PLB1	151056	11	11	1	1	610179	0	1
PLBD1-AS1	101928290	15	15	#	1	#	#	#
PLCE1-AS1	100128054	15	12	#	1	#	#	#
PLCXD1	55344	116	110	#	1	300974	#	#
PLCZ1	89869	23	23	1	1	608075	#	#
PLD1	5337	18	18	1	1	602382	#	#
PLEKHA1	59338	24	24	#	1	607772	#	#
PLEKHA2	59339	38	38	#	1	607773	#	#
PLEKHA7	144100	4	4	#	1	612686	#	#
PLEKHF1	79156	7	7	#	1	615200	#	#
PLEKHG2	64857	6	6	2	1	611893	#	#
PLEKHM1	9842	9	9	2	1	611466	0	1
PLEKHM2	23207	24	24	1	1	609613	0	1
PLGRKT	55848	114	112	#	1	#	#	#
PLPPR3	79948	16	16	#	1	610391	#	#
PMCHL1	5369	43	43	#	1	176793	#	#
PMP2	5375	23	23	1	1	170715	#	#
PMS1	5378	76	69	47	1	600258	0	27
PNMA3	29944	151	145	#	1	300675	#	#
PNPLA8	50640	12	11	4	1	612123	1	1
POC1B-GALNT4	100528030	5	5	1	1	#	#	#
PODXL	5420	23	23	5	1	602632	0	4
POF1B	79983	165	151	46	1	300603	0	7
